datetime,month,liquor_sales
1980-01-01,1,480
1980-02-01,2,467
1980-03-01,3,514
1980-04-01,4,505
1980-05-01,5,534
1980-06-01,6,546
1980-07-01,7,539
1980-08-01,8,541
1980-09-01,9,551
1980-10-01,10,537
1980-11-01,11,584
1980-12-01,12,854
1981-01-01,1,522
1981-02-01,2,506
1981-03-01,3,558
1981-04-01,4,538
1981-05-01,5,605
1981-06-01,6,583
1981-07-01,7,607
1981-08-01,8,624
1981-09-01,9,570
1981-10-01,10,609
1981-11-01,11,675
1981-12-01,12,861
1982-01-01,1,605
1982-02-01,2,537
1982-03-01,3,575
1982-04-01,4,588
1982-05-01,5,656
1982-06-01,6,623
1982-07-01,7,661
1982-08-01,8,668
1982-09-01,9,603
1982-10-01,10,639
1982-11-01,11,669
1982-12-01,12,915
1983-01-01,1,643
1983-02-01,2,563
1983-03-01,3,616
1983-04-01,4,645
1983-05-01,5,703
1983-06-01,6,684
1983-07-01,7,731
1983-08-01,8,722
1983-09-01,9,678
1983-10-01,10,713
1983-11-01,11,725
1983-12-01,12,989
1984-01-01,1,687
1984-02-01,2,629
1984-03-01,3,687
1984-04-01,4,706
1984-05-01,5,754
1984-06-01,6,774
1984-07-01,7,825
1984-08-01,8,755
1984-09-01,9,751
1984-10-01,10,783
1984-11-01,11,804
1984-12-01,12,1139
1985-01-01,1,711
1985-02-01,2,693
1985-03-01,3,790
1985-04-01,4,754
1985-05-01,5,799
1985-06-01,6,824
1985-07-01,7,854
1985-08-01,8,810
1985-09-01,9,798
1985-10-01,10,807
1985-11-01,11,832
1985-12-01,12,1142
1986-01-01,1,740
1986-02-01,2,713
1986-03-01,3,791
1986-04-01,4,768
1986-05-01,5,846
1986-06-01,6,884
1986-07-01,7,886
1986-08-01,8,878
1986-09-01,9,813
1986-10-01,10,840
1986-11-01,11,884
1986-12-01,12,1245
1987-01-01,1,796
1987-02-01,2,750
1987-03-01,3,834
1987-04-01,4,838
1987-05-01,5,902
1987-06-01,6,895
1987-07-01,7,962
1987-08-01,8,990
1987-09-01,9,882
1987-10-01,10,936
1987-11-01,11,997
1987-12-01,12,1305
1988-01-01,1,866
1988-02-01,2,805
1988-03-01,3,905
1988-04-01,4,873
1988-05-01,5,1024
1988-06-01,6,985
1988-07-01,7,1049
1988-08-01,8,1034
1988-09-01,9,951
1988-10-01,10,1010
1988-11-01,11,1016
1988-12-01,12,1378
1989-01-01,1,915
1989-02-01,2,854
1989-03-01,3,922
1989-04-01,4,965
1989-05-01,5,1014
1989-06-01,6,1040
1989-07-01,7,1137
1989-08-01,8,1026
1989-09-01,9,992
1989-10-01,10,1052
1989-11-01,11,1056
1989-12-01,12,1469
1990-01-01,1,916
1990-02-01,2,934
1990-03-01,3,987
1990-04-01,4,1018
1990-05-01,5,1048
1990-06-01,6,1086
1990-07-01,7,1144
1990-08-01,8,1077
1990-09-01,9,1036
1990-10-01,10,1076
1990-11-01,11,1114
1990-12-01,12,1595
1991-01-01,1,949
1991-02-01,2,930
1991-03-01,3,1045
1991-04-01,4,1015
1991-05-01,5,1091
1991-06-01,6,1142
1991-07-01,7,1182
1991-08-01,8,1161
1991-09-01,9,1145
1991-10-01,10,1119
1991-11-01,11,1189
1991-12-01,12,1662
1992-01-01,1,1048
1992-02-01,2,1019
1992-03-01,3,1129
1992-04-01,4,1092
1992-05-01,5,1176
1992-06-01,6,1297
1992-07-01,7,1322
1992-08-01,8,1330
1992-09-01,9,1263
1992-10-01,10,1250
1992-11-01,11,1341
1992-12-01,12,1927
1993-01-01,1,1271
1993-02-01,2,1238
1993-03-01,3,1283
1993-04-01,4,1283
1993-05-01,5,1413
1993-06-01,6,1371
1993-07-01,7,1425
1993-08-01,8,1453
1993-09-01,9,1311
1993-10-01,10,1387
1993-11-01,11,1454
1993-12-01,12,1993
1994-01-01,1,1328
1994-02-01,2,1250
1994-03-01,3,1308
1994-04-01,4,1350
1994-05-01,5,1455
1994-06-01,6,1442
1994-07-01,7,1530
1994-08-01,8,1505
1994-09-01,9,1421
1994-10-01,10,1485
1994-11-01,11,1465
1994-12-01,12,2163
1995-01-01,1,1361
1995-02-01,2,1284
1995-03-01,3,1392
1995-04-01,4,1442
1995-05-01,5,1504
1995-06-01,6,1488
1995-07-01,7,1606
1995-08-01,8,1488
1995-09-01,9,1442
1995-10-01,10,1495
1995-11-01,11,1509
1995-12-01,12,2135
1996-01-01,1,1369
1996-02-01,2,1320
1996-03-01,3,1448
1996-04-01,4,1495
1996-05-01,5,1522
1996-06-01,6,1575
1996-07-01,7,1666
1996-08-01,8,1617
1996-09-01,9,1567
1996-10-01,10,1551
1996-11-01,11,1624
1996-12-01,12,2367
1997-01-01,1,1377
1997-02-01,2,1294
1997-03-01,3,1401
1997-04-01,4,1362
1997-05-01,5,1466
1997-06-01,6,1559
1997-07-01,7,1569
1997-08-01,8,1575
1997-09-01,9,1456
1997-10-01,10,1487
1997-11-01,11,1549
1997-12-01,12,2178
1998-01-01,1,1423
1998-02-01,2,1312
1998-03-01,3,1465
1998-04-01,4,1488
1998-05-01,5,1577
1998-06-01,6,1591
1998-07-01,7,1669
1998-08-01,8,1697
1998-09-01,9,1659
1998-10-01,10,1597
1998-11-01,11,1728
1998-12-01,12,2326
1999-01-01,1,1529
1999-02-01,2,1395
1999-03-01,3,1567
1999-04-01,4,1536
1999-05-01,5,1682
1999-06-01,6,1675
1999-07-01,7,1758
1999-08-01,8,1708
1999-09-01,9,1561
1999-10-01,10,1643
1999-11-01,11,1635
1999-12-01,12,2240
2000-01-01,1,1485
2000-02-01,2,1376
2000-03-01,3,1459
2000-04-01,4,1526
2000-05-01,5,1659
2000-06-01,6,1623
2000-07-01,7,1731
2000-08-01,8,1662
2000-09-01,9,1589
2000-10-01,10,1683
2000-11-01,11,1672
2000-12-01,12,2361
2001-01-01,1,1480
2001-02-01,2,1385
2001-03-01,3,1505
2001-04-01,4,1576
2001-05-01,5,1649
2001-06-01,6,1684
2001-07-01,7,1748
2001-08-01,8,1642
2001-09-01,9,1571
2001-10-01,10,1567
2001-11-01,11,1637
2001-12-01,12,2397
2002-01-01,1,1483
2002-02-01,2,1390
2002-03-01,3,1562
2002-04-01,4,1573
2002-05-01,5,1718
2002-06-01,6,1752
2002-07-01,7,1809
2002-08-01,8,1759
2002-09-01,9,1698
2002-10-01,10,1643
2002-11-01,11,1718
2002-12-01,12,2399
2003-01-01,1,1551
2003-02-01,2,1497
2003-03-01,3,1697
2003-04-01,4,1672
2003-05-01,5,1805
2003-06-01,6,1903
2003-07-01,7,1928
2003-08-01,8,1963
2003-09-01,9,1807
2003-10-01,10,1843
2003-11-01,11,1950
2003-12-01,12,2736
2004-01-01,1,1798
2004-02-01,2,1700
2004-03-01,3,1901
2004-04-01,4,1820
2004-05-01,5,1982
2004-06-01,6,1957
2004-07-01,7,2076
2004-08-01,8,2107
2004-09-01,9,1799
2004-10-01,10,1854
2004-11-01,11,1968
2004-12-01,12,2364
2005-01-01,1,1662
2005-02-01,2,1681
2005-03-01,3,1725
2005-04-01,4,1796
2005-05-01,5,1938
2005-06-01,6,1871
2005-07-01,7,2001
2005-08-01,8,1934
2005-09-01,9,1825
2005-10-01,10,1930
2005-11-01,11,1867
2005-12-01,12,2553
2006-01-01,1,1624
2006-02-01,2,1533
2006-03-01,3,1676
2006-04-01,4,1706
2006-05-01,5,1781
2006-06-01,6,1772
2006-07-01,7,1922
2006-08-01,8,1743
2006-09-01,9,1669
2006-10-01,10,1713
2006-11-01,11,1733
2006-12-01,12,2369
2007-01-01,1,1491
2007-02-01,2,1445
2007-03-01,3,1643
2007-04-01,4,1683
2007-05-01,5,1751
2007-06-01,6,1774
2007-07-01,7,1893
2007-08-01,8,1776
2007-09-01,9,1743
2007-10-01,10,1728
2007-11-01,11,1769
2007-12-01,12,2431
